gtk-update-icon-cache 1:4.4.1-1
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.30+90+g20be04f7ac-1
gtk4 1:4.4.1-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.2-1
gtop 1.1.2-1
gts 0.7.6.121130-2
guile 2.2.7-2
gumbo-parser 0.10.1-2
gupnp 1:1.4.0-1
gupnp-igd 1.2.0-2
gvfs 1.48.1-1
gzip 1.11-1
harfbuzz 3.1.2-1
harfbuzz-icu 3.1.2-1
haskell-adjunctions 4.4-271
haskell-aeson 1.5.6.0-57
haskell-aeson-pretty 0.8.9-7
haskell-algebraic-graphs 0.5-123
haskell-annotated-wl-pprint 0.7.0-24
haskell-ansi-terminal 0.11-181
haskell-ansi-wl-pprint 0.6.9-239
haskell-appar 0.1.8-12
haskell-apply-refact 0.9.3.0-46
haskell-asn1-encoding 0.9.6-138
haskell-asn1-parse 0.9.5-138
haskell-asn1-types 0.3.4-117
haskell-assoc 1.0.2-108
haskell-async 2.2.3-88
haskell-attoparsec 0.14.1-37
haskell-attoparsec-iso8601 1.0.2.0-71
haskell-auto-update 0.1.6-197
haskell-base-compat 0.11.2-6
haskell-base-compat-batteries 0.11.2-161
haskell-base-orphans 0.8.5-14
haskell-base16-bytestring 1.0.1.0-74
haskell-base64-bytestring 1.2.1.0-15
haskell-basement 0.0.12-3
haskell-bifunctors 5.5.11-33
haskell-blaze-builder 0.4.2.2-1
haskell-blaze-html 0.9.1.2-138
haskell-blaze-markup 0.8.2.8-44
haskell-blaze-textual 0.2.2.1-9
haskell-bsb-http-chunked 0.0.0.4-242
haskell-byteable 0.1.1-24
haskell-byteorder 1.0.4-23
haskell-bytestring-encoding 0.1.1.0-29
haskell-call-stack 0.4.0-23
haskell-casa-client 0.0.1-346
haskell-casa-types 0.0.2-158
haskell-case-insensitive 1.2.1.0-117
